identity_id,work_package,scene,method,variant,seed,training_status,training_identity,training_path,evaluation_status,evaluation_identity,evidence_path,notes
android-b1-30k,P01,android,B1,gsplat153-absgrad,42,REUSED,9e29230952be700dc5b527008e2f60f05b82717d,/home/chenglong/Uncertain-Nerf/uncertain-nerf/logs-puri/ru-generalization-rerun-9e292309/android_b1_30k/ckpts/ckpt_29999_rank0.pt,REUSED_VALID,puri-gs-gsplat153-independent-eval-v1,E:\6-Project\1-UncertainNerf\PURI-GS-RU\visualizations\source-artifacts\logs-puri\ru-generalization-rerun-9e292309\android_b1_30k\independent_eval,"Standard checkpoint keys: splats, step; frozen archive outer SHA-256 reverified."
android-ru-30k,P01,android,RU,original-GS-RU,42,REUSED,9e29230952be700dc5b527008e2f60f05b82717d,/home/chenglong/Uncertain-Nerf/uncertain-nerf/logs-puri/ru-generalization-rerun-9e292309/android_ru_30k/ckpts/ckpt_29999_rank0.pt,REUSED_VALID,puri-gs-gsplat153-independent-eval-v1,E:\6-Project\1-UncertainNerf\PURI-GS-RU\visualizations\source-artifacts\logs-puri\ru-generalization-rerun-9e292309\android_ru_30k\independent_eval,"Standard checkpoint keys: splats, step; frozen archive outer SHA-256 reverified."
garden-b1-30k,P01,garden,B1,gsplat153-absgrad,42,REUSED,9e29230952be700dc5b527008e2f60f05b82717d,/home/chenglong/Uncertain-Nerf/uncertain-nerf/logs-puri/ru-generalization-rerun-9e292309/garden_b1_30k/ckpts/ckpt_29999_rank0.pt,REUSED_VALID,puri-gs-gsplat153-independent-eval-v1,E:\6-Project\1-UncertainNerf\PURI-GS-RU\visualizations\source-artifacts\logs-puri\ru-generalization-rerun-9e292309\garden_b1_30k\independent_eval,"Standard checkpoint keys: splats, step; frozen archive outer SHA-256 reverified."
garden-ru-30k,P01,garden,RU,original-GS-RU,42,REUSED,9e29230952be700dc5b527008e2f60f05b82717d,/home/chenglong/Uncertain-Nerf/uncertain-nerf/logs-puri/ru-generalization-rerun-9e292309/garden_ru_30k/ckpts/ckpt_29999_rank0.pt,REUSED_VALID,puri-gs-gsplat153-independent-eval-v1,E:\6-Project\1-UncertainNerf\PURI-GS-RU\visualizations\source-artifacts\logs-puri\ru-generalization-rerun-9e292309\garden_ru_30k\independent_eval,"Standard checkpoint keys: splats, step; frozen archive outer SHA-256 reverified."
patio_high-b1-30k,P01,patio_high,B1,gsplat153-absgrad,42,REUSED,749d584bd4741ec9619b158942da93b872e87029,/home/chenglong/Uncertain-Nerf/uncertain-nerf/logs-puri/ru-generalization-ontogo-749d584b/patio_high_b1_30k/ckpts/ckpt_29999_rank0.pt,REUSED_VALID,puri-gs-gsplat153-independent-eval-v1,E:\6-Project\1-UncertainNerf\PURI-GS-RU\visualizations\source-artifacts\logs-puri\ru-generalization-ontogo-749d584b\patio_high_b1_30k\independent_eval,"Standard checkpoint keys: splats, step; frozen archive outer SHA-256 reverified."
patio_high-ru-30k,P01,patio_high,RU,original-GS-RU,42,REUSED,749d584bd4741ec9619b158942da93b872e87029,/home/chenglong/Uncertain-Nerf/uncertain-nerf/logs-puri/ru-generalization-ontogo-749d584b/patio_high_ru_30k/ckpts/ckpt_29999_rank0.pt,REUSED_VALID,puri-gs-gsplat153-independent-eval-v1,E:\6-Project\1-UncertainNerf\PURI-GS-RU\visualizations\source-artifacts\logs-puri\ru-generalization-ontogo-749d584b\patio_high_ru_30k\independent_eval,"Standard checkpoint keys: splats, step; frozen archive outer SHA-256 reverified."
room-b1-30k,P01,room,B1,gsplat153-absgrad,42,REUSED,da5089cd34bad85780e974f732c2bc722b05c77f,/home/chenglong/Uncertain-Nerf/uncertain-nerf/logs-puri/phase_r/room_b1_30k/ckpts/ckpt_29999_rank0.pt,REUSED_VALID,puri-gs-gsplat153-independent-eval-v1,E:\6-Project\1-UncertainNerf\PURI-GS-RU\visualizations\source-artifacts\logs-puri\phase_r\room_b1_30k\independent_eval,Room checkpoint hash/bytes and absolute training seconds are absent from local evidence; server SSH authentication was unavailable.
room-ru-30k,P01,room,RU,original-GS-RU,42,REUSED,da5089cd34bad85780e974f732c2bc722b05c77f,/home/chenglong/Uncertain-Nerf/uncertain-nerf/logs-puri/phase_r/room_ru_30k/ckpts/ckpt_29999_rank0.pt,REUSED_VALID,puri-gs-gsplat153-independent-eval-v1,E:\6-Project\1-UncertainNerf\PURI-GS-RU\visualizations\source-artifacts\logs-puri\phase_r\room_ru_30k\independent_eval,Room checkpoint hash/bytes and absolute training seconds are absent from local evidence; server SSH authentication was unavailable.
P02-android-robustsplat,P02,android,RobustSplat,RobustSplat,42,NOT_RUN_REQUIRES_P02_AUTHORIZATION,a130281d6d0c004032a9a57e8d6a14962d9836d3,,NOT_RUN,puri-gs-gsplat153-independent-eval-v1,,共同输入下没有可直接复评的 checkpoint；作者协议数字只作 Reported 参考。
P02-android-sls-mlp,P02,android,SLS-mlp,SLS-mlp-no-UBP,42,NOT_RUN_REQUIRES_P02_AUTHORIZATION,0caae3cc45bb1fddf86bd47e4a521888f5c49889,,NOT_RUN,puri-gs-gsplat153-independent-eval-v1,,共同输入下没有可直接复评的 checkpoint；作者协议数字只作 Reported 参考。
