seq,attempt,step,kind,charged,status,seconds
1,0,-1,independent_reference_gpu_probe,1,RESERVED,
1,0,-1,independent_reference_gpu_probe,0,SUCCESS,
2,0,-1,real_state_mask_head_forward,1,RESERVED,
2,0,-1,real_state_mask_head_forward,0,SUCCESS,
3,0,-1,real_state_A_render_forward,1,RESERVED,
3,0,-1,real_state_A_render_forward,0,SUCCESS,
4,0,-1,real_state_A_photo_backward,1,RESERVED,
4,0,-1,real_state_A_photo_backward,0,SUCCESS,
5,0,-1,real_state_A_exact_probe_forward,1,RESERVED,
5,0,-1,real_state_A_exact_probe_forward,0,SUCCESS,
6,0,-1,real_state_mask_head_forward,1,RESERVED,
6,0,-1,real_state_mask_head_forward,0,SUCCESS,
7,0,-1,real_state_A_render_forward,1,RESERVED,
7,0,-1,real_state_A_render_forward,0,SUCCESS,
8,0,-1,real_state_A_photo_backward,1,RESERVED,
8,0,-1,real_state_A_photo_backward,0,SUCCESS,
9,0,-1,real_state_A_exact_probe_forward,1,RESERVED,
9,0,-1,real_state_A_exact_probe_forward,0,SUCCESS,
10,0,-1,real_state_D_clone_render_forward,1,RESERVED,
10,0,-1,real_state_D_clone_render_forward,0,FAILED_CHARGED,
11,0,-1,real_state_mask_head_forward,1,RESERVED,
11,0,-1,real_state_mask_head_forward,0,SUCCESS,
12,0,-1,real_state_A_render_forward,1,RESERVED,
12,0,-1,real_state_A_render_forward,0,SUCCESS,
13,0,-1,real_state_A_photo_backward,1,RESERVED,
13,0,-1,real_state_A_photo_backward,0,SUCCESS,
14,0,-1,real_state_A_exact_probe_forward,1,RESERVED,
14,0,-1,real_state_A_exact_probe_forward,0,SUCCESS,
15,0,-1,real_state_D_clone_render_forward,1,RESERVED,
15,0,-1,real_state_D_clone_render_forward,0,SUCCESS,
16,0,-1,real_state_D_clone_photo_backward,1,RESERVED,
16,0,-1,real_state_D_clone_photo_backward,0,SUCCESS,
17,0,-1,real_state_D_and_R_exact_probe_forward,1,RESERVED,
17,0,-1,real_state_D_and_R_exact_probe_forward,0,SUCCESS,
18,1,10901,A_exact_probe_forward,1,RESERVED,
18,1,10901,A_exact_probe_forward,0,SUCCESS,0.479742
19,1,10901,D_clone_render_forward,1,RESERVED,
19,1,10901,D_clone_render_forward,0,SUCCESS,0.001973
20,1,10901,D_clone_photo_backward,1,RESERVED,
20,1,10901,D_clone_photo_backward,0,SUCCESS,0.003717
21,1,10901,D_and_R_exact_probe_forward,1,RESERVED,
21,1,10901,D_and_R_exact_probe_forward,0,SUCCESS,0.002156
22,1,10902,A_exact_probe_forward,1,RESERVED,
22,1,10902,A_exact_probe_forward,0,SUCCESS,0.133081
23,1,10903,A_exact_probe_forward,1,RESERVED,
23,1,10903,A_exact_probe_forward,0,SUCCESS,0.128881
24,1,10904,A_exact_probe_forward,1,RESERVED,
24,1,10904,A_exact_probe_forward,0,SUCCESS,0.129877
25,1,10905,A_exact_probe_forward,1,RESERVED,
25,1,10905,A_exact_probe_forward,0,SUCCESS,0.127552
26,1,10906,A_exact_probe_forward,1,RESERVED,
26,1,10906,A_exact_probe_forward,0,SUCCESS,0.128077
27,1,10907,A_exact_probe_forward,1,RESERVED,
27,1,10907,A_exact_probe_forward,0,SUCCESS,0.131306
28,1,10908,A_exact_probe_forward,1,RESERVED,
28,1,10908,A_exact_probe_forward,0,SUCCESS,0.127424
29,1,10909,A_exact_probe_forward,1,RESERVED,
29,1,10909,A_exact_probe_forward,0,SUCCESS,0.130455
30,1,10910,A_exact_probe_forward,1,RESERVED,
30,1,10910,A_exact_probe_forward,0,SUCCESS,0.129065
31,1,10911,A_exact_probe_forward,1,RESERVED,
31,1,10911,A_exact_probe_forward,0,SUCCESS,0.128654
32,1,10912,A_exact_probe_forward,1,RESERVED,
32,1,10912,A_exact_probe_forward,0,SUCCESS,0.129303
33,1,10913,A_exact_probe_forward,1,RESERVED,
33,1,10913,A_exact_probe_forward,0,SUCCESS,0.134893
34,1,10914,A_exact_probe_forward,1,RESERVED,
34,1,10914,A_exact_probe_forward,0,SUCCESS,0.129728
35,1,10915,A_exact_probe_forward,1,RESERVED,
35,1,10915,A_exact_probe_forward,0,SUCCESS,0.127889
36,1,10916,A_exact_probe_forward,1,RESERVED,
36,1,10916,A_exact_probe_forward,0,SUCCESS,0.128859
37,1,10917,A_exact_probe_forward,1,RESERVED,
37,1,10917,A_exact_probe_forward,0,SUCCESS,0.127233
38,1,10918,A_exact_probe_forward,1,RESERVED,
38,1,10918,A_exact_probe_forward,0,SUCCESS,0.127685
39,1,10919,A_exact_probe_forward,1,RESERVED,
39,1,10919,A_exact_probe_forward,0,SUCCESS,0.134596
40,1,10920,A_exact_probe_forward,1,RESERVED,
40,1,10920,A_exact_probe_forward,0,SUCCESS,0.129204
41,1,10921,A_exact_probe_forward,1,RESERVED,
41,1,10921,A_exact_probe_forward,0,SUCCESS,0.129679
42,1,10922,A_exact_probe_forward,1,RESERVED,
42,1,10922,A_exact_probe_forward,0,SUCCESS,0.129232
43,1,10923,A_exact_probe_forward,1,RESERVED,
43,1,10923,A_exact_probe_forward,0,SUCCESS,0.128112
44,1,10924,A_exact_probe_forward,1,RESERVED,
44,1,10924,A_exact_probe_forward,0,SUCCESS,0.128549
45,1,10925,A_exact_probe_forward,1,RESERVED,
45,1,10925,A_exact_probe_forward,0,SUCCESS,0.132912
46,1,10926,A_exact_probe_forward,1,RESERVED,
46,1,10926,A_exact_probe_forward,0,SUCCESS,0.130888
47,1,10927,A_exact_probe_forward,1,RESERVED,
47,1,10927,A_exact_probe_forward,0,SUCCESS,0.127737
48,1,10928,A_exact_probe_forward,1,RESERVED,
48,1,10928,A_exact_probe_forward,0,SUCCESS,0.127328
49,1,10929,A_exact_probe_forward,1,RESERVED,
49,1,10929,A_exact_probe_forward,0,SUCCESS,0.128871
50,1,10930,A_exact_probe_forward,1,RESERVED,
50,1,10930,A_exact_probe_forward,0,SUCCESS,0.130546
51,1,10931,A_exact_probe_forward,1,RESERVED,
51,1,10931,A_exact_probe_forward,0,SUCCESS,0.135801
52,1,10932,A_exact_probe_forward,1,RESERVED,
52,1,10932,A_exact_probe_forward,0,SUCCESS,0.131149
53,1,10933,A_exact_probe_forward,1,RESERVED,
53,1,10933,A_exact_probe_forward,0,SUCCESS,0.128479
54,1,10934,A_exact_probe_forward,1,RESERVED,
54,1,10934,A_exact_probe_forward,0,SUCCESS,0.129628
55,1,10934,D_clone_render_forward,1,RESERVED,
55,1,10934,D_clone_render_forward,0,SUCCESS,0.001445
56,1,10934,D_clone_photo_backward,1,RESERVED,
56,1,10934,D_clone_photo_backward,0,SUCCESS,0.004113
57,1,10934,D_and_R_exact_probe_forward,1,RESERVED,
57,1,10934,D_and_R_exact_probe_forward,0,SUCCESS,0.00081
58,1,10935,A_exact_probe_forward,1,RESERVED,
58,1,10935,A_exact_probe_forward,0,SUCCESS,0.133095
59,1,10936,A_exact_probe_forward,1,RESERVED,
59,1,10936,A_exact_probe_forward,0,SUCCESS,0.128131
60,1,10937,A_exact_probe_forward,1,RESERVED,
60,1,10937,A_exact_probe_forward,0,SUCCESS,0.134784
61,1,10938,A_exact_probe_forward,1,RESERVED,
61,1,10938,A_exact_probe_forward,0,SUCCESS,0.130945
62,1,10939,A_exact_probe_forward,1,RESERVED,
62,1,10939,A_exact_probe_forward,0,SUCCESS,0.129819
63,1,10940,A_exact_probe_forward,1,RESERVED,
63,1,10940,A_exact_probe_forward,0,SUCCESS,0.13189
64,1,10941,A_exact_probe_forward,1,RESERVED,
64,1,10941,A_exact_probe_forward,0,SUCCESS,0.129436
65,1,10942,A_exact_probe_forward,1,RESERVED,
65,1,10942,A_exact_probe_forward,0,SUCCESS,0.12797
66,1,10943,A_exact_probe_forward,1,RESERVED,
66,1,10943,A_exact_probe_forward,0,SUCCESS,0.136812
67,1,10944,A_exact_probe_forward,1,RESERVED,
67,1,10944,A_exact_probe_forward,0,SUCCESS,0.132137
68,1,10945,A_exact_probe_forward,1,RESERVED,
68,1,10945,A_exact_probe_forward,0,SUCCESS,0.130101
69,1,10946,A_exact_probe_forward,1,RESERVED,
69,1,10946,A_exact_probe_forward,0,SUCCESS,0.128459
70,1,10947,A_exact_probe_forward,1,RESERVED,
70,1,10947,A_exact_probe_forward,0,SUCCESS,0.127396
71,1,10948,A_exact_probe_forward,1,RESERVED,
71,1,10948,A_exact_probe_forward,0,SUCCESS,0.127514
72,1,10949,A_exact_probe_forward,1,RESERVED,
72,1,10949,A_exact_probe_forward,0,SUCCESS,0.137023
73,1,10950,A_exact_probe_forward,1,RESERVED,
73,1,10950,A_exact_probe_forward,0,SUCCESS,0.129815
74,1,10951,A_exact_probe_forward,1,RESERVED,
74,1,10951,A_exact_probe_forward,0,SUCCESS,0.131647
75,1,10952,A_exact_probe_forward,1,RESERVED,
75,1,10952,A_exact_probe_forward,0,SUCCESS,0.131201
76,1,10953,A_exact_probe_forward,1,RESERVED,
76,1,10953,A_exact_probe_forward,0,SUCCESS,0.128405
77,1,10954,A_exact_probe_forward,1,RESERVED,
77,1,10954,A_exact_probe_forward,0,SUCCESS,0.129731
78,1,10955,A_exact_probe_forward,1,RESERVED,
